Country,Agriculture,Industry,Services,Add Date
Central African Rep.,0.55,0.2,0.25,2020-05-02 00:00:00
Chad,0.335,0.259,0.406,2020-05-02 00:00:00
Chile,0.06,0.493,0.447,2020-05-02 00:00:00
China,0.125,0.473,0.403,2020-05-02 00:00:00
Colombia,0.125,0.342,0.533,2020-05-02 00:00:00
Comoros,0.4,0.04,0.56,2020-05-02 00:00:00
"Congo, Dem. Rep.",0.55,0.11,0.34,2020-05-02 00:00:00
"Congo, Repub. of the",0.062,0.57,0.369,2020-05-02 00:00:00
Cook Islands,0.151,0.096,0.753,2020-05-02 00:00:00
Costa Rica,0.088,0.299,0.614,2020-05-02 00:00:00
Cote d'Ivoire,0.279,0.171,0.55,2020-05-02 00:00:00
Croatia,0.07,0.308,0.622,2020-05-02 00:00:00
Cuba,0.055,0.261,0.684,2020-05-02 00:00:00
Cyprus,0.037,0.198,0.765,2020-05-02 00:00:00
Czech Republic,0.034,0.393,0.573,2020-05-02 00:00:00
Denmark,0.018,0.246,0.735,2020-05-02 00:00:00
Djibouti,0.179,0.225,0.596,2020-05-02 00:00:00
Dominica,0.177,0.328,0.495,2020-05-02 00:00:00
Dominican Republic,0.112,0.306,0.582,2020-05-02 00:00:00
East Timor,0.085,0.231,0.684,2020-05-02 00:00:00
Ecuador,0.07,0.312,0.618,2020-05-02 00:00:00
Egypt,0.149,0.357,0.493,2020-05-02 00:00:00
El Salvador,0.099,0.302,0.599,2020-05-02 00:00:00
Equatorial Guinea,0.03,0.906,0.062,2020-05-02 00:00:00
Eritrea,0.102,0.254,0.643,2020-05-02 00:00:00
Estonia,0.04,0.294,0.666,2020-05-02 00:00:00
Ethiopia,0.475,0.099,0.426,2020-05-02 00:00:00
Faroe Islands,0.27,0.11,0.62,2020-05-02 00:00:00
Fiji,0.089,0.135,0.776,2020-05-02 00:00:00
Finland,0.028,0.295,0.676,2020-05-02 00:00:00
France,0.022,0.214,0.764,2020-05-02 00:00:00
French Guiana,0.066,0.156,0.778,2020-05-02 00:00:00
French Polynesia,0.031,0.19,0.769,2020-05-02 00:00:00
Gabon,0.061,0.592,0.348,2020-05-02 00:00:00
"Gambia, The",0.308,0.142,0.549,2020-05-02 00:00:00
Gaza Strip,0.03,0.283,0.687,2020-05-02 00:00:00
Georgia,0.172,0.275,0.553,2020-05-02 00:00:00
Germany,0.009,0.296,0.695,2020-05-02 00:00:00
Ghana,0.366,0.246,0.387,2020-05-02 00:00:00
Gibraltar,,,,2020-05-02 00:00:00
Greece,0.054,0.213,0.733,2020-05-02 00:00:00
Greenland,,,,2020-05-02 00:00:00
Grenada,0.054,0.18,0.766,2020-05-02 00:00:00
Guadeloupe,0.15,0.17,0.68,2020-05-02 00:00:00
Guam,,,,2020-05-02 00:00:00
Guatemala,0.227,0.188,0.585,2020-05-02 00:00:00
Guernsey,0.03,0.1,0.87,2020-05-02 00:00:00
Guinea,0.237,0.362,0.401,2020-05-02 00:00:00
Guinea-Bissau,0.62,0.12,0.26,2020-05-02 00:00:00
Guyana,0.37,0.203,0.427,2020-05-02 00:00:00
Haiti,0.28,0.2,0.52,2020-05-02 00:00:00
Honduras,0.139,0.312,0.549,2020-05-02 00:00:00
Hong Kong,0.001,0.092,0.906,2020-05-02 00:00:00
Hungary,0.037,0.312,0.651,2020-05-02 00:00:00
Iceland,0.086,0.15,0.765,2020-05-02 00:00:00
India,0.186,0.276,0.538,2020-05-02 00:00:00
Indonesia,0.134,0.458,0.408,2020-05-02 00:00:00
Iran,0.116,0.424,0.46,2020-05-02 00:00:00
Iraq,0.073,0.666,0.261,2020-05-02 00:00:00
Ireland,0.05,0.46,0.49,2020-05-02 00:00:00
Isle of Man,0.01,0.13,0.86,2020-05-02 00:00:00
Israel,0.026,0.317,0.657,2020-05-02 00:00:00
Italy,0.021,0.291,0.688,2020-05-02 00:00:00
Jamaica,0.049,0.337,0.615,2020-05-02 00:00:00
Japan,0.017,0.258,0.725,2020-05-02 00:00:00
Jersey,0.05,0.02,0.93,2020-05-02 00:00:00
Jordan,0.033,0.287,0.68,2020-05-02 00:00:00
Kazakhstan,0.067,0.386,0.547,2020-05-02 00:00:00
Kenya,0.163,0.188,0.651,2020-05-02 00:00:00
Kiribati,0.089,0.242,0.668,2020-05-02 00:00:00
"Korea, North",0.3,0.34,0.36,2020-05-02 00:00:00
"Korea, South",0.033,0.403,0.563,2020-05-02 00:00:00
Kuwait,0.004,0.479,0.516,2020-05-02 00:00:00
Kyrgyzstan,0.353,0.208,0.439,2020-05-02 00:00:00
Laos,0.455,0.287,0.258,2020-05-02 00:00:00
Latvia,0.04,0.261,0.699,2020-05-02 00:00:00
Lebanon,0.12,0.21,0.67,2020-05-02 00:00:00
Lesotho,0.163,0.443,0.394,2020-05-02 00:00:00
Liberia,0.769,0.054,0.177,2020-05-02 00:00:00
Libya,0.076,0.499,0.425,2020-05-02 00:00:00
Liechtenstein,0.06,0.39,0.55,2020-05-02 00:00:00
Lithuania,0.055,0.325,0.62,2020-05-02 00:00:00
Luxembourg,0.01,0.13,0.86,2020-05-02 00:00:00
Macau,0.001,0.072,0.927,2020-05-02 00:00:00
Macedonia,0.118,0.319,0.563,2020-05-02 00:00:00
Madagascar,0.276,0.165,0.559,2020-05-02 00:00:00
Malawi,0.342,0.158,0.499,2020-05-02 00:00:00
Malaysia,0.084,0.48,0.436,2020-05-02 00:00:00
Maldives,0.2,0.18,0.62,2020-05-02 00:00:00
Mali,0.45,0.17,0.38,2020-05-02 00:00:00
Malta,0.03,0.23,0.74,2020-05-02 00:00:00
Marshall Islands,0.317,0.149,0.534,2020-05-02 00:00:00
Martinique,0.06,0.11,0.83,2020-05-02 00:00:00
Mauritania,0.25,0.29,0.46,2020-05-02 00:00:00
Mauritius,0.059,0.298,0.643,2020-05-02 00:00:00
Mayotte,,,,2020-05-02 00:00:00
Mexico,0.038,0.259,0.702,2020-05-02 00:00:00
"Micronesia, Fed. St.",0.289,0.152,0.559,2020-05-02 00:00:00
Moldova,0.213,0.233,0.555,2020-05-02 00:00:00
Monaco,0.17,,,2020-05-02 00:00:00
Mongolia,0.206,0.214,0.58,2020-05-02 00:00:00
Montserrat,,,,2020-05-02 00:00:00
Morocco,0.217,0.357,0.426,2020-05-02 00:00:00
Mozambique,0.262,0.348,0.39,2020-05-02 00:00:00
Namibia,0.097,0.315,0.588,2020-05-02 00:00:00
Nauru,,,,2020-05-02 00:00:00
Nepal,0.38,0.21,0.41,2020-05-02 00:00:00
Netherlands,0.021,0.244,0.736,2020-05-02 00:00:00
Netherlands Antilles,0.01,0.15,0.84,2020-05-02 00:00:00
New Caledonia,0.15,0.088,0.762,2020-05-02 00:00:00
New Zealand,0.043,0.273,0.684,2020-05-02 00:00:00
Nicaragua,0.165,0.275,0.56,2020-05-02 00:00:00
Niger,0.39,0.17,0.44,2020-05-02 00:00:00
Nigeria,0.269,0.487,0.244,2020-05-02 00:00:00
N. Mariana Islands,,,,2020-05-02 00:00:00
Norway,0.021,0.415,0.564,2020-05-02 00:00:00
Oman,0.027,0.39,0.583,2020-05-02 00:00:00
Pakistan,0.216,0.251,0.533,2020-05-02 00:00:00
Palau,0.062,0.12,0.818,2020-05-02 00:00:00
Panama,0.068,0.156,0.776,2020-05-02 00:00:00
Papua New Guinea,0.353,0.381,0.266,2020-05-02 00:00:00
Paraguay,0.224,0.207,0.569,2020-05-02 00:00:00
Peru,0.08,0.27,0.65,2020-05-02 00:00:00
Philippines,0.144,0.326,0.53,2020-05-02 00:00:00
Poland,0.05,0.311,0.64,2020-05-02 00:00:00
Portugal,0.053,0.274,0.673,2020-05-02 00:00:00
Puerto Rico,0.01,0.45,0.54,2020-05-02 00:00:00
Qatar,0.002,0.801,0.197,2020-05-02 00:00:00
Reunion,0.08,0.19,0.73,2020-05-02 00:00:00
Romania,0.101,0.35,0.549,2020-05-02 00:00:00
Russia,0.054,0.371,0.575,2020-05-02 00:00:00
Rwanda,0.401,0.229,0.37,2020-05-02 00:00:00
Saint Helena,,,,2020-05-02 00:00:00
Saint Kitts and Nevis,0.035,0.258,0.707,2020-05-02 00:00:00
Saint Lucia,0.07,0.2,0.73,2020-05-02 00:00:00
St Pierre and Miquelon,,,,2020-05-02 00:00:00
Saint Vincent and the Grenadines,0.1,0.26,0.64,2020-05-02 00:00:00
Samoa,0.114,0.584,0.302,2020-05-02 00:00:00
San Marino,,,,2020-05-02 00:00:00
Sao Tome and Principe,0.167,0.148,0.684,2020-05-02 00:00:00
Saudi Arabia,0.033,0.613,0.354,2020-05-02 00:00:00
Senegal,0.172,0.209,0.619,2020-05-02 00:00:00
Serbia,0.166,0.255,0.579,2020-05-02 00:00:00
Seychelles,0.032,0.304,0.665,2020-05-02 00:00:00
Sierra Leone,0.49,0.31,0.21,2020-05-02 00:00:00
Singapore,0.0,0.339,0.661,2020-05-02 00:00:00
Slovakia,0.035,0.294,0.672,2020-05-02 00:00:00
Slovenia,0.028,0.369,0.603,2020-05-02 00:00:00
Solomon Islands,0.42,0.11,0.47,2020-05-02 00:00:00
Somalia,0.65,0.1,0.25,2020-05-02 00:00:00
South Africa,0.025,0.303,0.671,2020-05-02 00:00:00
Spain,0.04,0.295,0.665,2020-05-02 00:00:00
Sri Lanka,0.178,0.276,0.545,2020-05-02 00:00:00
Sudan,0.387,0.203,0.41,2020-05-02 00:00:00
Suriname,0.13,0.22,0.65,2020-05-02 00:00:00
Swaziland,0.119,0.515,0.366,2020-05-02 00:00:00
Sweden,0.011,0.282,0.707,2020-05-02 00:00:00
Switzerland,0.015,0.34,0.645,2020-05-02 00:00:00
Syria,0.249,0.23,0.519,2020-05-02 00:00:00
Taiwan,0.018,0.259,0.723,2020-05-02 00:00:00
Tajikistan,0.234,0.286,0.48,2020-05-02 00:00:00
Tanzania,0.432,0.172,0.396,2020-05-02 00:00:00
Thailand,0.099,0.441,0.46,2020-05-02 00:00:00
Togo,0.395,0.204,0.401,2020-05-02 00:00:00
Tonga,0.23,0.27,0.5,2020-05-02 00:00:00
Trinidad and Tobago,0.007,0.57,0.423,2020-05-02 00:00:00
Tunisia,0.132,0.318,0.55,2020-05-02 00:00:00
Turkey,0.117,0.298,0.585,2020-05-02 00:00:00
Turkmenistan,0.209,0.38,0.411,2020-05-02 00:00:00
Turks and Caicos Is,,,,2020-05-02 00:00:00
Tuvalu,0.166,0.272,0.562,2020-05-02 00:00:00
Uganda,0.311,0.222,0.469,2020-05-02 00:00:00
Ukraine,0.187,0.452,0.361,2020-05-02 00:00:00
United Arab Emirates,0.04,0.585,0.375,2020-05-02 00:00:00
United Kingdom,0.005,0.237,0.758,2020-05-02 00:00:00
United States,0.01,0.204,0.787,2020-05-02 00:00:00
Uruguay,0.093,0.311,0.596,2020-05-02 00:00:00
Uzbekistan,0.342,0.229,0.43,2020-05-02 00:00:00
Vanuatu,0.26,0.12,0.62,2020-05-02 00:00:00
Venezuela,0.04,0.419,0.541,2020-05-02 00:00:00
Vietnam,0.209,0.41,0.381,2020-05-02 00:00:00
Virgin Islands,0.01,0.19,0.8,2020-05-02 00:00:00
Wallis and Futuna,,,,2020-05-02 00:00:00
West Bank,0.09,0.28,0.63,2020-05-02 00:00:00
Western Sahara,,,0.4,2020-05-02 00:00:00
Yemen,0.135,0.472,0.393,2020-05-02 00:00:00
Zambia,0.22,0.29,0.489,2020-05-02 00:00:00
Zimbabwe,0.179,0.243,0.579,2020-05-02 00:00:00
